date,headline,source
2020-01-02,Tesla Says will Deliver Second Batch of China-made Model 3s on January 7,kaggle_historical
2020-01-02,Tesla shares are trading higher after the company said it would deliver a second batch of China-made Model 3S on January 7th.,kaggle_historical
2020-01-02,Canaccord Lifts Tesla Price Target Above $500 Amid International Opportunity,kaggle_historical
2020-01-02,Today's Pickup: Asia's Richest Man Looks To Stand Up To Amazon's Might In India,kaggle_historical
2020-01-02,"Wedbush Says Tesla Poised For Q4 Delivery Upside On Model 3 Demand, European Strength",kaggle_historical
2020-01-02,Hearing Canaccord Genuity Raised Tesla Price Target From $375 To $515; Unconfirmed,kaggle_historical
2020-01-02,2020 Vision: Rally Mode To Start Off Decade As Last Year's Strength Rolls Along,kaggle_historical
2020-01-02,Tesla To Begin Delivering China-Made Model 3 To Public On Jan. 7,kaggle_historical
2020-01-02,"Canaccord Genuity Maintains Buy on Tesla, Raises Price Target to $515",kaggle_historical
2020-01-02,"UPDATE: Canaccord Genuity Maintains Buy On Tesla, Raises Target To $515 As Firm Believes 'the trend towards electrification will only accelerate in 2020'; Anticipates Co's Q4 Delivery Numbers Will Be Above Co's 360,000 Unit Guidance For 2019",kaggle_historical
2020-01-03,"Canaccord Maintains Buy, $515 Target On Tesla As Firm Notes 'we view these results as a clear indication that EV demand remains strong for Tesla and that the company is well positioned for 2020 with continued positive momentum in all business areas'",kaggle_historical
2020-01-03,"Tesla shares are trading higher after the company reported record deliveries of roughly 367,600 in FY19, which is a 50% year-over-year increase.",kaggle_historical
2020-01-03,Tesla Reports Record Q4 Deliveries,kaggle_historical
2020-01-03,"Benzinga Pro's Top 5 Stocks To Watch For Fri., Jan. 3, 2020: TSLA, AAPL, YUMA, AXE, CMG",kaggle_historical
2020-01-03,"UPDATE: Tesla Says 'Our delivery count should be viewed as slightly conservative, as we only count a car as delivered if it is transferred to the customer and all paperwork is correct'",kaggle_historical
2020-01-03,"Tesla Reports Q4 Model S/X Production ~17.9K Vehicles, Model 3 Production ~86.96K Vehicles",kaggle_historical
2020-01-03,Tesla Shorts Are Still Holding On (For Now),kaggle_historical
2020-01-03,"Tesla Q4 Production Almost 105K Vehicles, Deliveries ~112K Vehicles",kaggle_historical
2020-01-03,16 Consumer Cyclical Stocks Moving In Friday's Pre-Market Session,kaggle_historical
2020-01-03,"China-made Exports of Ford, Tesla, BBMW Set to Surge as Beijing Opens Auto Industry, Government Says",kaggle_historical
2020-01-03,"Tesla Cuts Price of Made-in-China Model 3 to ~$43,000 after Incentives",kaggle_historical
2020-01-03,Chinese EV Maker Lixiang Files for Minimum $500M U.S. IPO,kaggle_historical
2020-01-03,"Tesla Cuts Price for China-made Model 3 Vehicles to 299,050 Yuan",kaggle_historical
2020-01-03,"Tesla Reports FY19 Deliveries ~367.6K, Up 50% Year Over Year",kaggle_historical
2020-01-04,"Tesla Model 3 Production In China Already Above 3,000 Per Week",kaggle_historical
2020-01-04,"Benzinga's Bulls And Bears Of The Week: Apple, Disney, Starbucks, Tiffany And More",kaggle_historical
2020-01-06,"'Tesla Model 3 to be $5,000 cheaper in New Jersey; Turnpike getting electrified' -Electrek",kaggle_historical
2020-01-06,'Tesla plans to build 'future vehicles' at Gigafactory 4 as new details emerge' -Electrek,kaggle_historical
2020-01-06,"Tesla Option Alert: Jan, 2021 $200 Puts at the Bid: 1000 @ $7.25 vs 10524 OI; Earnings 1/29 After Close [est] Ref=$445.46",kaggle_historical
2020-01-06,"Perspective Time: Geopolitics Hits Markets, But Losses Not Too Steep Yet And Volatility Tame",kaggle_historical
2020-01-06,"Nio Shares Retest $4 Level After December, Q4 Deliveries Beat Guidance",kaggle_historical
2020-01-06,Tesla CEO Elon Musk Plans to Attend a Delivery Ceremony for Made-in-China Teslas in Shanghai on Tuesday,kaggle_historical
2020-01-06,"RBC Capital Maintains Underperform on Tesla, Raises Price Target to $315",kaggle_historical
2020-01-07,Elon Musk Busts A Move As First Chinese-Made Model 3s Delivered,kaggle_historical
2020-01-07,"Benzinga Pro's Top 5 Stocks To Watch For Tues., Jan. 7, 2020: TSLA, SQ, LEN, APOP, PIR",kaggle_historical
2020-01-07,Argus Raises Price Target On Tesla From $396 To $556,kaggle_historical
2020-01-07,3 Tesla Pros On The Automaker's China Milestone,kaggle_historical
2020-01-08,"Tesla, Musk Approach Historic Milestones As Automaker's Stock Rally Continues",kaggle_historical
2020-01-08,Elon Musk Tweets: 'Tesla China Team Such amazing progress!!',kaggle_historical
2020-01-08,"Tesla shares are trading higher, potentially amid continued optimism surrounding the company's China production. CEO Elon Musk on Twitter suggested the company was making 'amazing progress' in China, sending shares higher.",kaggle_historical
2020-01-08,Electrek Reports Daimler/BMW Ride-Hailing Service Is Ordering 60 Tesla Vehicles,kaggle_historical
2020-01-08,"'Tesla has to move endangered bats to build Gigafactory 4, could delay and faces opposition' -Electrek",kaggle_historical
2020-01-08,Cramer Questions Why Tesla's Stock Isn't Higher,kaggle_historical
2020-01-09,"UPDATE: Baird On Tesla Notes 'Shares now fairly reflect future execution, in our view, including a smooth Model Y ramp; while this is certainly achievable, we believe there is some risk (as with any product launch)'",kaggle_historical
2020-01-09,"UPDATE: Baird Downgrades Tesla To Neutral, Raises Target To $525 Notes 'We are moving to the sidelines, admittedly battle-weary after a hard-fought several years, including ~20% outperformance over the last year'",kaggle_historical
2020-01-09,"Tesla shares are trading lower after analysts at Baird downgraded the stock from Outperform to Neutral, recommending investors take profits . CFRA also downgraded the stock from Hold to Sell, citing near-term risks.",kaggle_historical
2020-01-09,"PreMarket Prep Recap: Tesla Shrugs Off Double Downgrade, Bed Bath & Beyond Continues Fall",kaggle_historical
2020-01-09,"Benzinga's Top Upgrades, Downgrades For January 9, 2020",kaggle_historical
2020-01-09,"Back To The Grind: Iran Fears Ease, So Focus Turns To Jobs, Fed Speakers, Earnings",kaggle_historical
2020-01-09,Is Elon Musk's Girlfriend Grimes Pregnant?,kaggle_historical
2020-01-09,Should Nio Be Worried About Tesla's Model 3 Order Overflows In China?,kaggle_historical
2020-01-09,"CFRA Downgrades Tesla to Sell, Announces $400 Price Target",kaggle_historical
2020-01-09,Hearing CFRA Downgrades Tesla From Hold To Sell; Unconfirmed,kaggle_historical
2020-01-09,"Baird Downgrades Tesla to Neutral, Raises Price Target to $525",kaggle_historical
2020-01-09,CORRECTION: Baird Downgrades Tesla to Neutral from Outperform; Raises Price Target to $525 from $355,kaggle_historical
2020-01-09,"Billionaire Gives Away $9M As 'Social Experiment,' Breaks Twitter Records",kaggle_historical
2020-01-09,"CFRA Research Downgrades Tesla, Sees Risks Ahead After Huge Run",kaggle_historical
2020-01-10,GM's New Electric Hummer-Branded Vehicles Will Go On Sale Starting In Late 2021 Starting With EV Pickup,kaggle_historical
2020-01-10,GM Plans All-Electric Hummer Pickup Truck To Be Sold Under GMC Brand,kaggle_historical
2020-01-10,11 Consumer Cyclical Stocks Moving In Friday's Pre-Market Session,kaggle_historical
2020-01-10,"Piper Sandler Maintains Overweight on Tesla, Raises Price Target to $553",kaggle_historical
2020-01-10,10 Biggest Price Target Changes For Friday,kaggle_historical
2020-01-10,Here's How Much Investing $100 In Tesla Stock Back In 2010 Would Be Worth Today,kaggle_historical
2020-01-12,"Bulls And Bears Of The Week: Apple, Citigroup, Southwest, Walgreens And More",kaggle_historical
2020-01-13,Tesla $93B Valuation: Does A Great Product Equate To A Great Stock?,kaggle_historical
2020-01-13,"Tesla Will Soon 'Talk To People,' Musk Hints New Feature",kaggle_historical
2020-01-13,Hearing Oppenheimer Raised its Price Target on Tesla from $385 to $612,kaggle_historical
2020-01-13,"Oppenheimer Maintains Outperform on Tesla, Raises Price Target to $612",kaggle_historical
2020-01-13,'Elon Musk: Tesla's Full Self-Driving 'feature-complete' is coming 'soon'' -Electrek,kaggle_historical
2020-01-13,'Tesla numbers will go up because of China subsidy extension. Analysts need to raise numbers.. $TSLA' -CNBC's Jim Cramer,kaggle_historical
2020-01-13,"Tesla Gets New Street-High Price Target, Stock Breaks $500",kaggle_historical
2020-01-13,"Oppenheimer, In Earlier Price Target Raise, Says Tesla Is 'beginning to pose an existential threat to transportation companies that are unable or unwilling to innovate at a faster pace.'",kaggle_historical
2020-01-13,Tesla shares are trading higher after multiple firms raised the price target on the stock.,kaggle_historical
2020-01-14,"Tesla Option Alert: Jan, 2021 $640 Calls at the Ask: 500 @ $61.8 vs 182 OI; Earnings 1/29 After Close [est] Ref=$533.0",kaggle_historical
2020-01-14,Bears Fawning For FANG With A Newly Upsized ETN,kaggle_historical
2020-01-14,"'Chevy is offering $10,000 lease discounts on Bolt EV' -Electrek",kaggle_historical
2020-01-14,Tesla Shorts Vs. Beyond Meat Shorts: Who's Getting Squeezed Harder?,kaggle_historical
2020-01-14,US National Transportation Safety Board Will Hold Feb. 25 Meeting To Determine Probable Cause Of 2018 Fatal Tesla Crash,kaggle_historical
2020-01-14,Tesla shares are trading higher after Jefferies maintained a Buy rating on the company's stock and raised the price target from $400 to $600.,kaggle_historical
2020-01-14,"Jefferies Maintains Buy on Tesla, Raises Price Target to $600",kaggle_historical
2020-01-14,3 ETFs With Meaningful Tesla Exposure,kaggle_historical
2020-01-15,Honda And Isuzu Will Work Together On Fuel Cell-Powered Electric Trucks,kaggle_historical
2020-01-15,"'Tesla owners are unintentionally buying expensive software upgrades and not getting refunds, Musk says will address' -Electrek",kaggle_historical
2020-01-15,Tesla shares are trading lower on a potential sell-off after the stock increased roughly 15% since Monday.,kaggle_historical
2020-01-15,Today's Pickup: Aerial Vs. Ground Autonomous Transportation,kaggle_historical
2020-01-15,Wednesday's Market Minute: How Will The Party End?,kaggle_historical
2020-01-15,14 Consumer Cyclical Stocks Moving In Wednesday's Pre-Market Session,kaggle_historical
2020-01-15,"Jeffrey Epstein May Have Tried to Befriend Elon Musk, Report Says",kaggle_historical
2020-01-16,"Morgan Stanley Downgrades Tesla On Risk, Valuation Following Massive Stock Run",kaggle_historical
2020-01-16,"'Tesla Autopilot crash rate increases, but still lower than without Autopilot' -Electrek",kaggle_historical
2020-01-16,Today's Pickup: Last-Mile Delivery Growth Will Increase Carbon Emissions By 30% By 2030,kaggle_historical
2020-01-16,"PreMarket Prep Recap: Morgan Stanley Beats, Tesla's Battle For $500 And Shorts On The Run In Signet Jewelers",kaggle_historical
2020-01-16,"'Tesla releases new design drawing, announces design center to build 'Chinese-style' car ' -Electrek",kaggle_historical
2020-01-16,"UPDATE: Morgan Stanley Downgrades Tesla To Underweight, Raises Target To $360 'based on (1) valuation, (2) unfavorable risk-reward, and (3) risks to the long-term Chinese business that may not be fully appreciated by the market'",kaggle_historical
2020-01-16,"Benzinga Pro's Top 5 Stocks To Watch For Thurs., Jan. 16, 2020: TSLA, MS, BYND, RBZ, PECK",kaggle_historical
2020-01-16,Tesla shares are trading lower following a report the company's vehicle registrations have declined from last year. Morgan Stanley also downgraded the company's stock from Equal-Weight to Underweight.,kaggle_historical
2020-01-16,"Morgan Stanley Downgrades Tesla to Underweight, Raises Price Target to $360",kaggle_historical
2020-01-16,From 'Made in China' to 'Designed in China:' Tesla Is Hiring Staff To Design Models In A New Local Research Center,kaggle_historical
2020-01-16,'New Tesla registrations in California nearly halves in fourth quarter: data' -Reuters Article From Late Wed. Evening,kaggle_historical
2020-01-16,A Peek Into The Markets: US Stock Futures Gain Ahead Of Morgan Stanley Earnings,kaggle_historical
2020-01-16,"Dominion Cross-Sell Reports Total Q4 Registrations for Tesla Vehicles in California 13,584 Vs 25,402 YoY Total Q4 Registrations for Tesla Vehicles Across U.S. States 25,614 Vs 46,197 YoY",kaggle_historical
2020-01-16,Hearing Morgan Stanley Downgrades Tesla From Equal Weight to Underweight; Raises Price Target From $250 to $380,kaggle_historical
2020-01-16,21 Stocks Moving in Thursday's Pre-Market Session,kaggle_historical
